serv no,wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,amc
2910,0.163689,0.060388,0.543303,0.190693,0.385752,0.053601,0.484435,0.161362,0.352652,0.157541,0,0,0,0.110811,0.037971
2914,0.304952,0.057993,0.342048,0.29047,0.476609,0.250834,0.542008,0.306163,0.221884,0.280874,0,0.043891372,0,0.245159,0.038775
2935,0.481183,0.051574,0.38121,0.472076,0.551426,0.233217,0.574658,0.482287,0.182615,0.453158,0,0,0,0.346398,0.036202
2950,0.09503,0.290927,0.029708,0.123624,0.135325,0,0.028838,0.073496,0.787514,0.187369,0,0,0,0.25236,0.084847
2957,0.214684,0.199794,0.435762,0.211911,0.447128,0.389046,0.657611,0.222795,0.106285,0.193514,0.189659,0.832096238,0.318764,0.807263,0.400209
2972,0.086233,0.155548,0.152041,0.08273,0.179703,0.194066,0.234795,0.086151,0.38686,0.088485,0,0,0,0.354398,0.062832
2979,0.452895,0.261423,0.070274,0.406068,0.376856,0.171568,0,0.473442,0.562159,0.379403,0,0,0,0.191822,0.081606
3170,0.195842,0.226547,0.454296,0.244719,0.700496,0.546086,0.723403,0.202911,0.065027,0.196237,0.102349,0.205609659,0.229257,0.566987,0.166656
3171,0.372355,0.221869,0.525682,0.381058,0.830157,0.505501,0.813236,0.383695,0.320783,0.325798,0.203606,0.50993656,0.178328,0.689085,0.309685
3172,0.32542,0.349332,0.515791,0.349314,0.960785,0.609177,0.792232,0.349267,0.089045,0.452355,0.538268,1.415713562,0.053689,0.756704,1.155728
3174,0.285188,0.387168,0.549822,0.312691,1,0.877197,0.787531,0.311979,0.004339,0.370977,0.546477,1.162014547,0.035862,0.737506,0.961851
3175,0.190154,0.290927,0.350774,0.211379,0.523156,0.407161,0.586174,0.201519,0.202611,0.299573,0.431197,1.040691737,0.209386,0.706269,0.789536
3176,0.125897,0.215153,0.290841,0.157827,0.384172,0.42186,0.467861,0.129227,0.285365,0.138466,0.154513,0.302045507,0.423157,0.474599,0.22966
3179,0.26865,0.157828,0.502259,0.301377,0.598499,0.393009,0.73362,0.273281,0.457329,0.273267,0.116509,0.356203496,0.364747,0.506535,0.19168
3181,0.174568,0.140096,0.337125,0.203668,0.412435,0.305615,0.54885,0.173786,0.504273,0.196643,0.055236,0.226324376,0.537066,0.431306,0.120704
3184,0.118052,0.223255,0.364746,0.147478,0.370687,0.7816,0.517738,0.123145,0.146261,0.117211,0.170135,0.343931252,0.364747,0.372314,0.256151
3187,0.207333,0.146383,0.406861,0.256577,0.683622,0.565406,0.620893,0.21113,0.012548,0.199308,0.093908,0.390540291,0.282397,0.836801,0.238134
3189,0.330635,0.251205,0.532192,0.350941,0.856662,0.590439,0.805963,0.344454,0.128417,0.508481,0.241749,2.005479616,0.12319,0.558698,1.408304
3194,0.221818,0.131788,0.534267,0.288169,0.800377,0.750966,0.800801,0.225472,0.079081,0.399563,0.107311,1.795619422,0.282397,0.503212,0.93486
3196,0.218387,0.275569,0.424876,0.248519,0.680235,0.623898,0.66625,0.229542,0.085085,0.552729,0.297359,2.111481141,0.155217,0.70242,1.574866
3197,0.185033,0.261423,0.413988,0.224398,0.647749,0.490324,0.657934,0.193213,0.055033,0.190066,0.198571,0.349413651,0.209386,0.61236,0.26097
3200,0.130272,0.307552,0.234318,0.146103,0.336945,0.21889,0.3491,0.134182,0.357302,0.152598,0.24826,0.303685089,0.423157,0.608411,0.204413
3208,0.177245,0.181228,0.302509,0.181573,0.367222,0.508229,0.498879,0.18115,0.117236,0.156925,0.093106,0.265724708,0.493252,0.708255,0.166239
3211,0.175616,0.254779,0.27559,0.178653,0.38292,0.332551,0.442701,0.182804,0.324923,0.313793,0.249093,1.353312639,0.423157,0.525349,0.818569
3267,0.322815,0.167548,0.184375,0.282385,0.503074,0.329582,0.257897,0.331068,0.407743,0.290833,0,0,0,0.123515,0.060272
3269,0.222105,0.078402,0.293408,0.218287,0.453581,0.287357,0.410441,0.222541,0.270376,0.215989,0,0.057549819,0,0.26005,0.034577
3271,0.110163,0.135516,0.195352,0.095864,0.221517,0.290009,0.300254,0.11196,0.354701,0.096615,0,0,0,0.228337,0.052464
3272,0.148489,0.042886,0.386243,0.172483,0.364998,0.404692,0.599191,0.147411,0.168957,0.145031,0,0.017223853,0,0.293943,0.038435
3273,0.128769,0.112623,0.227084,0.128545,0.29251,0.184935,0.317021,0.126753,0.260596,0.113932,0,0.058891518,0,0.314377,0.062667
3275,0.082988,0.135516,0.195352,0.072177,0.127917,0.216843,0.275574,0.083647,0.284602,0.064931,0,0.048727503,0,0.365342,0.063064
3276,0.126728,0.236416,0.083159,0.104651,0.201837,0.176223,0.118417,0.127627,0.429261,0.124246,0,0,0,0.506385,0.075833
3278,0.478714,0.167548,0.142079,0.435404,0.547408,0.194559,0.223703,0.487753,0.368751,0.420572,0,0,0,0.250093,0.06125
3280,0.193914,0.053596,0.342984,0.191361,0.350554,0.343587,0.555677,0.194294,0.196835,0.179616,0,0,0,0.278996,0.036571
3281,0.154598,0.119488,0.231357,0.146867,0.338858,0.337823,0.344794,0.155094,0.388463,0.151906,0,0,0,0.193435,0.047889
3282,0.185843,0.144945,0.151711,0.160233,0.343639,0.227946,0.263554,0.189581,0.36812,0.165193,0,0,0,0.451097,0.058948
3283,0.093568,0.155548,0.156161,0.088664,0.231302,0.240415,0.250027,0.093648,0.38976,0.093542,0,0,0,0.262165,0.059498
3284,0.148126,0.068513,0.305399,0.151856,0.308806,0.276653,0.465459,0.147379,0.1913,0.130035,0,0.043891372,0,0.451208,0.054846
3285,0.28987,0.167548,0.159414,0.254276,0.353094,0.171349,0.225551,0.295175,0.306001,0.240662,0,0,0,0.317878,0.065357
3286,0.186518,0.100698,0.217157,0.170546,0.305419,0.286454,0.375277,0.188378,0.293392,0.170585,0,0,0,0.70749,0.046084
3289,0.12313,0.119488,0.200354,0.120733,0.273506,0.136445,0.265697,0.121825,0.233684,0.106197,0,0.086482845,0,0.515698,0.06594
3290,0.09446,0.082193,0.296226,0.124018,0.294725,0.266051,0.400896,0.090428,0.213503,0.086258,0,0.139327045,0,0.310089,0.054026
3291,0.094349,0.167548,0.177612,0.08266,0.121184,0.118889,0.200653,0.093102,0.248288,0.072978,0,0.130812036,0,0.459201,0.072775
3294,0.331516,0.112623,0.24124,0.302277,0.547923,0.08801,0.270795,0.335516,0.167122,0.287646,0,0.459580429,0,0.725432,0.05516
3296,0.322815,0.167548,0.184375,0.282385,0.503074,0.329582,0.257897,0.331068,0.407743,0.290833,0,0,0,0.123515,0.060272
3297,0.193914,0.053596,0.342984,0.191361,0.350554,0.343587,0.555677,0.194294,0.196835,0.179616,0,0,0,0.278996,0.036571
3299,0.478714,0.167548,0.142079,0.435404,0.547408,0.194559,0.223703,0.487753,0.368751,0.420572,0,0,0,0.250093,0.06125
3300,0.154598,0.119488,0.231357,0.146867,0.338858,0.337823,0.344794,0.155094,0.388463,0.151906,0,0,0,0.193435,0.047889
3301,0.148489,0.042886,0.386243,0.172483,0.364998,0.404692,0.599191,0.147411,0.168957,0.145031,0,0.017223853,0,0.293943,0.038435
3302,0.093568,0.155548,0.156161,0.088664,0.231302,0.240415,0.250027,0.093648,0.38976,0.093542,0,0,0,0.262165,0.059498
3303,0.110163,0.135516,0.195352,0.095864,0.221517,0.290009,0.300254,0.11196,0.354701,0.096615,0,0,0,0.228337,0.052464
3304,0.082988,0.135516,0.195352,0.072177,0.127917,0.216843,0.275574,0.083647,0.284602,0.064931,0,0.048727503,0,0.365342,0.063064
3307,0.148126,0.068513,0.305399,0.151856,0.308806,0.276653,0.465459,0.147379,0.1913,0.130035,0,0.043891372,0,0.451208,0.054846
